List Year,Town,Assessed Value,Sale Amount,Sale Ratio
2012,Salisbury,40608860,52401596.0,1.290398105241073
2013,Durham,19399210,24076157.0,1.241089559832591
2015,North Haven,113288760,159625003.0,1.4090100641934822
2016,Glastonbury,205831924,340085512.0,1.652248618149243
2017,Stafford,113429840,37325851.0,0.3290655351360806
2003,Woodbridge,39038720,77896146.0,1.9953560465097215
2006,Ashford,9263770,20554519.0,2.2188071379146934
2009,Canaan,4450200,4412865.0,0.991610489416206
2010,North Stonington,13369010,14746750.0,1.1030547512493445
2011,Haddam,21732970,27868292.0,1.2823048115374935
2013,Sterling,6373470,7462445.0,1.170860614390591
2015,Litchfield,35295250,67365128.0,1.908617391858678
2017,Middlefield,11684100,19614267.0,1.6787144067579018
2017,Old Saybrook,84710000,118005158.0,1.393048730964467
2017,North Branford,23360240,34878719.0,1.4930805077345095
2019,East Granby,23456200,32360036.0,1.3795941371577665
2019,East Haddam,38517460,59619939.0,1.5478678760229776
2020,Wallingford,4986300,7342000.0,1.4724344704490304
2002,Harwinton,9972560,26749239.0,2.6822840875361993
2008,Bloomfield,38563940,65371683.0,1.6951505214456821
2014,Salisbury,32157310,45075414.0,1.4017159395484262
2017,Wilton,163872856,233314749.0,1.4237547004123734
2017,Old Lyme,58775730,79213323.0,1.3477216361242983
2004,Bridgewater,9990000,19067750.0,1.9086836836836836
2005,East Windsor,31402460,75008124.0,2.38860662508606
2006,Durham,25879550,40071285.0,1.5483764207646578
2012,Chaplin,2712100,2907025.0,1.0718723498396077
2014,Washington,53379920,100734546.0,1.887124334393907
2017,Westbrook,37740960,57456432.0,1.5223892555992216
2020,Waterford,117180091,205260394.0,1.7516661085371577
2020,Woodbury,70591184,135495014.0,1.91943251723898
2008,East Haven,61713530,75446859.0,1.2225335189868414
2008,Canterbury,8138569,12828288.0,1.576233856345016
2011,Oxford,34145600,46207285.0,1.3532427311278759
2012,Colchester,34453380,49709133.0,1.442794088707697
2002,Kent,17966500,37933370.0,2.111338880694626
2005,Cheshire,122847947,234123085.0,1.905795666247479
2005,Chester,17003600,32275608.0,1.8981632124961774
2006,Weston,136593514,236424982.0,1.7308653615866416
2012,East Hartford,64637123,74757483.0,1.1565719439585824
2020,Deep River,97510,150000.0,1.538303763716542
2005,Avon,128548788,242701535.0,1.8880110717185448
2005,Ansonia,36339339,84465455.0,2.324353092938757
2005,Bethany,24983830,40920943.0,1.6378971118519459
2010,Manchester,73130590,91497068.0,1.2511463123707875
2013,Marlborough,18127100,26131097.0,1.4415486757396385
2017,Chester,20601420,28475023.0,1.3821873929078674
2005,Middletown,147772990,303885268.0,2.0564331005280465
2006,Old Lyme,64171450,110900817.0,1.7281955916532976
2008,Winchester,18564090,24276315.0,1.3077029361525396
2009,Easton,53394140,59353438.0,1.1116095886177773
2010,Sherman,13040900,17674707.0,1.3553287733208597
2011,Putnam,19905950,20938771.0,1.051885039397768
2012,Montville,34690190,47868156.0,1.3798758669237614
2014,New Britain,111864120,154692571.0,1.3828613768203781
2017,Durham,22420711,31334880.0,1.3975863655706546
2017,Norwalk,552933140,954049920.0,1.7254345073257862
2017,Windsor Locks,84160051,165205724.0,1.9629945804096531
2005,Orange,78346300,108657674.0,1.3868896680506928
2002,New Hartford,19652030,39138023.0,1.9915511527307865
2007,Durham,21894148,32858400.0,1.5007845932164157
2011,Granby,30810060,39171455.0,1.2713852228785014
2012,Wolcott,26392405,33554645.0,1.2713750414181655
2013,Salisbury,32295790,41152722.0,1.2742441661900823
2014,Willington,8626920,12815775.0,1.4855562587806541
2017,Hampton,4550630,6501915.0,1.4287944746112078
2018,North Branford,25873473,41123503.0,1.5894079237062608
2020,Middlebury,57104260,111272161.0,1.9485789851755368
2004,Weston,170530013,294582491.0,1.727452463162599
2005,Danbury,324940400,707310328.0,2.1767386511495648
2007,Weston,105426600,155853699.0,1.478314761170331
2013,Wilton,189115980,303631379.0,1.6055299980467013
2015,Guilford,135874690,193001927.0,1.4204406059730477
2016,Suffield,53822699,86454437.0,1.6062820818406003
2018,Bozrah,5071140,8828462.0,1.7409225539030673
2018,Colchester,42487020,63679871.0,1.4988076593745572
2008,Easton,33254580,37578486.0,1.1300243755897683
2011,Bethany,14313230,19269341.0,1.3462608370018507
2010,Old Saybrook,78803900,88504590.0,1.1230991105770145
2013,Portland,24822230,33952063.0,1.3678087343482033
2014,Litchfield,30064900,46137751.0,1.5346051708138062
2019,Brooklyn,22894220,40366470.0,1.7631729755370569
2001,Bozrah,2346005,3697486.0,1.5760776298430736
2006,Bloomfield,147507211,287687299.0,1.9503270182499757
2014,Bridgeport,581135772,258092104.0,0.4441167046244057
2018,Ansonia,34308800,52432869.0,1.528262982092058
2004,Eastford,4069610,15315150.0,3.763296728679161
2009,Hampton,3534710,4131192.0,1.1687499115910498
2014,Old Saybrook,87492900,126757665.0,1.4487765864430142
2015,Cheshire,108678311,164534006.0,1.5139543896665821
2016,Morris,8565070,14246200.0,1.6632905510404468
2016,North Canaan,6991660,7591050.0,1.085729283174525
2016,Trumbull,151821240,216386566.0,1.425272023861747
2019,Barkhamsted,13755830,20193106.0,1.4679671092184186
2020,Norwalk,929539485,1574367614.0,1.6937070876553457
2020,Bozrah,5854170,10237400.0,1.7487363708262658
2003,Danbury,288370490,537293569.0,1.8632057982077153
2005,Ridgefield,208696201,428129432.0,2.0514481334521273
2007,Fairfield,467393197,642782686.0,1.3752504104162218
2013,Manchester,107229942,147277648.0,1.3734750318152742
2014,Norwich,67475460,86325455.0,1.2793607483372473
2019,Seymour,46278690,84388671.0,1.8234887590811235
2006,Hamden,207938100,324845738.0,1.5622232674050596
2007,Tolland,38236260,61643670.0,1.612178335433434
2008,Cornwall,5369710,6337500.0,1.1802313346530817
2009,Sharon,39843690,41557824.0,1.0430214671382094
2013,Old Lyme,64261301,63618661.0,0.9899995799960539
2009,Watertown,42973140,59856696.0,1.3928862540647484
2009,Windham,29695570,41794276.0,1.4074246091251994
2011,Columbia,207400,223750.0,1.0788331726133076
2012,Ashford,7541450,9686450.0,1.2844280609166672
2013,East Haddam,22655140,31079154.0,1.3718367664026794
2016,Coventry,41642600,58537747.0,1.4057178706420828
2019,Cheshire,113131530,183872123.0,1.6252951144565975
2001,West Hartford,181828480,360578073.0,1.983067080580556
2020,Weston,200233795,355079384.0,1.773323948637142
2002,Coventry,26682190,48849909.0,1.8308058296564114
2004,South Windsor,93958640,194577004.0,2.07087931455798
2012,Ledyard,32381400,43960030.0,1.3575703953504172
2019,Voluntown,8408350,14076550.0,1.6741156112673712
2003,Montville,39731677,96897785.0,2.438804307203041
2010,Mansfield,31615228,44400131.0,1.4043906626262508
2011,Deep River,12940260,14722250.0,1.1377089795722806
2011,New Canaan,387692590,462365761.0,1.192609229389708
2011,Lebanon,13588550,14912463.0,1.0974285703772662
2014,Durham,21663992,28075008.0,1.2959295775220006
2001,Morris,9740494,14512016.0,1.489864477099416
2006,Suffield,37560060,97394347.0,2.5930295904745626
2001,Rocky Hill,53793550,99681505.0,1.8530382359966948
2008,Windham,33007900,45268018.0,1.371429809227488
2009,Burlington,30868350,45835953.0,1.484885100758544
2016,Bristol,139610242,182633105.0,1.3081640887063286
2005,Berlin,57687510,115787743.0,2.007154460298252
2007,***Unknown***,66540,282450.0,4.2448151487826875
2018,Granby,36850840,58943737.0,1.5995222089917083
2019,Sharon,41358700,64107080.0,1.5500264756870985
2009,Putnam,18467000,21541244.0,1.1664723019440082
2010,Hebron,17894630,21746161.0,1.2152338997788723
2006,Sharon,23843780,48716484.0,2.043152721590285
2008,West Haven,85942580,100400661.0,1.1682295434928762
2016,Thomaston,15669780,20217171.0,1.2902013302037425
2016,Oxford,60279195,68918066.0,1.1433143060387585
2018,Fairfield,538770511,792033535.21875,1.4700758839764154
2019,East Hampton,58469566,85776443.625,1.4670271988165604
2019,Colebrook,4626490,6142500.0,1.3276803797263153
2020,Rocky Hill,50339120,85284560.0,1.6942004548351262
2004,Hamden,148127580,388234769.0,2.620948570144736
2006,Derby,38133510,57029913.0,1.4955327479689124
2008,Coventry,30537830,42212848.0,1.382313281592045
2009,Meriden,104457067,121026768.0,1.1586269026680598
2017,New Haven,229706505,501780313.0,2.1844410239927683
2001,Old Lyme,42629680,78602198.0,1.8438373921643325
2003,Newington,76156316,178568516.0,2.3447630528766648
2009,Sterling,7801548,8084568.0,1.0362774157128816
2013,Wallingford,154213257,176883203.0,1.147003872695588
2011,Rocky Hill,72756340,82043585.0,1.1276486007954771
2012,North Haven,83336190,116416902.0,1.3969549363847806
2013,New Milford,107086810,141098162.0,1.317605426849488
2014,Cornwall,7299400,9964837.0,1.3651583691810285
2015,Norfolk,11807850,11058905.0,0.9365722803050514
2016,Canaan,5579700,6984858.0,1.2518339695682563
2016,Scotland,4936150,6003272.0,1.2161850835165058
2020,Milford,310811942,552131818.0,1.7764176448535558
2003,Trumbull,170108047,338998430.0,1.9928418201168343
2004,East Haven,68702430,186591012.0,2.715930309888602
2007,Union,1472310,3007750.0,2.042878198205541
2017,North Haven,82540510,129269791.0,1.5661375365865804
2019,Southington,172156005,250046587.0,1.4524418535385972
2005,North Canaan,7985830,15141577.0,1.8960555133279822
2008,Simsbury,69534470,99250473.0,1.427356431996965
2008,Ansonia,24617770,29142757.0,1.183809784558065
2009,Madison,122478850,155185201.0,1.267036725116214
2013,Bozrah,3996450,5016883.0,1.255334859687973
2017,Ansonia,36890400,50033353.921875,1.356270301267403
2017,Middlebury,38396301,55104761.0,1.4351580637936971
2018,Southbury,94425041,139840443.0,1.4809677763338223
2018,West Hartford,266958455,398097527.203125,1.4912340094383787
2020,Hartford,182177271,449402633.0,2.4668424910152487
2001,Chaplin,3135000,5951473.0,1.8983964912280702
2020,Warren,17840102,35994485.671875,2.0176165849205905
2013,Newtown,100781536,151169030.0,1.4999675138906396
2016,Waterbury,136006835,232027763.0,1.706000753565069
2016,Ridgefield,315939509,349972895.0,1.1077212093787232
2019,Glastonbury,172127931,255848968.0,1.486388446741976
2019,Winchester,36262300,51350324.0,1.4160801714176983
2003,Coventry,25857711,55896716.0,2.1617039497424964
2003,Winchester,33939181,57923184.0,1.7066759507249158
2014,North Branford,35170650,45471036.0,1.2928687982735605
2016,Farmington,151890190,210556186.0,1.3862395326518453
2017,Westport,580371450,817691347.0,1.408910357323745
2018,Prospect,41994270,74617410.0,1.7768474127541687
2020,East Haven,108995790,185013496.4375,1.6974370885104828
2020,Preston,62232430,34256991.0,0.5504684776088609
2001,Canton,33187450,61534026.0,1.8541354035938284
2003,Madison,113482000,207919310.0,1.8321787596270773
2003,Westbrook,57900720,109891065.0,1.8979222538165328
2006,Farmington,135527140,302679308.0,2.2333483020448894
2011,Stratford,512022253,134647424.0,0.26297182048452883
2014,Cheshire,92250843,139115123.0,1.5080092330429977
2001,Redding,61281000,127008003.0,2.0725510843491457
2006,Woodbury,45412840,84180888.0,1.8536803247715845
2015,Andover,7970260,10827169.0,1.3584461485572616
2018,Woodstock,25376310,41309180.171875,1.6278639475902918
2001,West Haven,88500020,144191655.0,1.629283869088391
2004,Plainville,38976240,79889803.0,2.049705230673867
2006,Eastford,2755680,7123200.0,2.5849155199442606
2008,South Windsor,69045880,102151659.0,1.4794750823655227
2010,Darien,371343290,482817360.0,1.3001914212587495
2011,Goshen,16426280,18697001.0,1.138237081067655
2012,Haddam,23456610,28857813.0,1.230263580287177
2013,Plainville,37005790,52041405.0,1.406304391826252
2018,Newington,68038720,100303082.0,1.4742058933501394
2005,Stratford,864862100,372254719.0,0.4304208948455482
2010,Brookfield,74286225,86003030.0,1.1577251367935306
2007,Bridgewater,11125180,14739450.0,1.3248729458759319
2008,Stamford,618788560,653009097.0,1.0553024719784736
2009,Cheshire,75245253,109175185.0,1.4509245520112743
2009,Bethel,92365910,81368517.0,0.8809366680845779
2018,Lisbon,12032370,18136265.0,1.507289503231699
2019,Somers,33537990,49908048.5,1.4881049371175792
2020,Derby,24453430,43438326.0,1.7763694500117162
2020,Torrington,110022170,203049693.0,1.8455343409423755
2001,Newtown,130467929,312365448.0,2.3941933499994468
2010,Norwalk,442581818,479519999.0,1.0834606834210256
2011,Waterbury,174969440,129556326.0,0.7404511667866114
2013,Montville,30408240,44683040.0,1.469438546920177
2014,Watertown,46627770,63073507.0,1.3527026276401382
2002,Franklin,4439600,8735857.0,1.9677126317686278
2004,Bozrah,3874980,8620445.0,2.2246424497674826
2008,Griswold,22873980,29829771.0,1.3040918545876143
2008,Guilford,88839960,125453942.0,1.412134156746581
2011,Wallingford,103592724,122801178.0,1.1854228101965927
2011,Windham,21377440,22945977.0,1.0733734722211827
2012,Barkhamsted,7113890,8665800.0,1.2181520940020159
2012,Griswold,22080680,27166339.21875,1.2303216757251136
2014,East Granby,17525699,25174394.0,1.4364273858634682
2014,East Windsor,30805340,43505394.0,1.4122679379614054
2016,Canterbury,11383500,16245389.0,1.427099661791189
2019,Suffield,78233150,98471180.625,1.258688684080853
2001,Clinton,42069070,84123792.0,1.999658941830661
2001,Stamford,656997144,1148332720.0,1.747850398570378
2004,Wilton,225409260,446395295.0,1.9803769153050765
2005,Canterbury,10336792,19998787.0,1.9347189147271222
2014,Prospect,30122460,45120947.0,1.4979170691902322
2003,Middletown,117204141,223922807.0,1.910536650748543
2007,Woodbridge,36412360,58772756.0,1.6140880733904641
2011,New Fairfield,37778995,49399062.0,1.307580098411829
2010,Canaan,4620500,2351400.0,0.5089059625581647
2010,Beacon Falls,9488160,11370058.0,1.1983417227365474
2013,Bethel,71668410,134850298.0,1.8815862944357213
2014,Clinton,46477600,62654149.0,1.3480504371998554
2014,Ansonia,34891400,43222434.0,1.2387704133396769
2014,East Hampton,40804642,56224311.0,1.3778900694680767
2014,Easton,55477826,76711333.0,1.3827386278618776
2015,Montville,60686750,85129905.0,1.4027758118534936
2015,Old Lyme,56360050,76655426.0,1.3601021645651485
2015,Pomfret,152500,85000.0,0.5573770491803278
2017,Ellington,48609496,71765786.0,1.4763737933016217
2019,Burlington,50295865,78146996.0,1.5537459391542425
2001,East Haddam,24093230,65787034.0,2.7305194861793125
2005,Meriden,117445190,302139683.0,2.572601593986097
2005,Waterbury,227079110,517832219.0,2.2804044766601383
2011,Coventry,24500800,32247680.0,1.3161888591392934
2011,New Haven,155286261,204521680.0,1.3170622995423915
2012,New Haven,170404094,239180220.0,1.4036060659434626
2016,Harwinton,17308400,22526567.0,1.3014817660788982
2018,Cornwall,13722640,15299278.0,1.1148931983933121
2018,Stratford,845776700,667340581.0,0.7890269157331953
2018,Waterbury,201711740,262144304.0,1.2995986450763848
2006,Burlington,34577970,62073375.0,1.7951711740162883
2008,Farmington,118663988,155565114.0,1.3109715645154283
2015,North Canaan,7243466,8675382.0,1.1976838160074197
2018,Cromwell,51661410,75160482.0,1.4548670274388562
2018,Somers,29504800,44562859.375,1.5103596491079418
2020,Farmington,212651990,325207441.859375,1.5292941385564978
2020,Manchester,182483940,320411420.0,1.7558335270490104
2020,Mansfield,49361715,90994208.0,1.8434166641090164
2020,Redding,115109190,197432795.0,1.7151783884501315
2010,Groton,79596516,98928686.0,1.2428770877358502
2011,Guilford,97519021,112571104.0,1.1543502267111563
2012,Torrington,76373091,71132617.0,0.9313832407280727
2002,Burlington,33161240,71763066.0,2.1640646127828753
2003,North Branford,28579570,65054149.0,2.2762465985317486
2009,Windsor,56387120,77322993.0,1.3712882126272807
2011,Litchfield,28637157,35041606.0,1.223641229469811
2012,West Hartford,261355750,451638484.0,1.7280602550355215
2012,West Haven,82231216,80364619.0,0.977300627537844
2001,Naugatuck,58437776,95967561.0,1.6422178865944521
2002,West Haven,92229816,179620368.0,1.947530373474886
2006,Wethersfield,74536800,129565307.0,1.7382730007191078
2007,Salem,14457220,21109250.0,1.460118196997763
2011,Canton,38974830,49670784.0,1.2744323451827757
2016,Lebanon,24247340,33227986.0,1.3703765443962102
2001,Sprague,4268180,7739047.0,1.8131960226607124
2002,Greenwich,1560911770,1773991776.0,1.1365099617385805
2006,Voluntown,8027050,12297826.0,1.532048012657203
2007,Westbrook,36846590,57594530.0,1.5630898273083071
2009,Naugatuck,60529510,68971346.0,1.1394664519835036
2010,Roxbury,21283740,26753342.0,1.2569850035754995
2010,Sharon,32641440,26471750.0,0.8109859736580249
2011,Chaplin,2845600,3114184.0,1.0943857183019399
2013,Roxbury,26456230,35204150.0,1.330656333120781
2014,Brooklyn,21502180,30041667.0,1.3971451731870907
2015,Bethany,15336420,21971046.0,1.4326059145485062
2016,Seymour,45885350,61138587.0,1.3324206309857067
2017,Windham,34295250,50675424.0,1.4776222363155247
2020,Lyme,29469880,58041703.0,1.9695262756414347
2001,Norwalk,485170898,751685009.0,1.5493200686575392
2005,Granby,38096730,80502941.0,2.1131194462096876
2005,Rocky Hill,73928210,148178898.0,2.00436204258158
2005,Shelton,147756530,349075019.0,2.3625014677862293
2007,Brooklyn,19749390,35659529.0,1.8056015400982004
2015,New London,50811550,60513045.0,1.1909309005531223
2002,Cornwall,7489810,15104257.0,2.0166408760702876
2002,Middlefield,11593610,19351805.0,1.6691785388675313
2002,Norfolk,5626565,9751995.0,1.7332057836353085
2006,Berlin,179679150,152881716.0,0.8508595237677827
2008,Thompson,14264960,17601059.0,1.233866691529454
2009,North Branford,33551240,40327172.0,1.2019577219798732
2011,Chester,10406910,12231723.0,1.1753462843437676
2012,Morris,8471300,9671769.0,1.1417101271351504
2013,Orange,44676930,74363388.0,1.6644695148032778
2019,Ansonia,32813110,51005535.05078125,1.5544255040372963
2002,Cheshire,98506380,164785665.0,1.672842561060512
2002,Canton,37172460,81688625.0,2.1975576811435134
2003,Salisbury,22325100,52520096.0,2.3525133594026455
2007,Enfield,94359420,122171653.0,1.2947478163812367
2011,Southbury,77116132,76229261.0,0.9884995398887486
2015,New Hartford,22828705,28153779.0,1.2332622021266646
2001,Old Saybrook,42275006,80213345.0,1.8974177082316677
2016,Wallingford,150530300,207517423.0,1.3785757618233672
2016,Wethersfield,92064640,139425715.0,1.5144328484855858
2017,Canterbury,12041300,16922142.0,1.4053417820335015
2005,Kent,16508500,37332419.0,2.2614058818184573
2007,Windsor Locks,34086034,64442613.0,1.890587006983564
2013,Somers,26143590,35235787.0,1.3477792070637582
2016,Litchfield,42479360,63605325.0,1.4973230528896857
2017,Willington,18037942,25713305.0,1.4255121232788086
2018,New Britain,113567940,168034186.0,1.4795917404154728
2004,Sterling,8548830,27420824.0,3.207552846412901
2008,Greenwich,1538282916,919302264.0,0.5976158575500945
2008,Haddam,30451572,37481470.0,1.2308550113603332
2008,Windsor,97370,184900.0,1.898942179316011
2009,East Haddam,31244430,41782972.0,1.3372934631868785
2019,Plainville,56995250,97028529.0,1.7023967611336033
2017,West Hartford,245969369,372680065.0,1.5151482744178606
2020,Norfolk,11597140,17981754.0,1.550533493602733
2001,Bethany,26544400,34368535.0,1.2947565211494703
2003,Southbury,113080593,198337124.0,1.7539448524115893
2014,Madison,125207900,178850818.0,1.4284307779301466
2015,Middletown,177326370,252367838.0,1.4231827900159464
2017,Hamden,1160524020,443824146.0,0.3824342610332184
2005,Thomaston,11596490,30208979.0,2.605010567852859
2005,Norwalk,739091833,1172971652.0,1.5870445317178874
2006,Stonington,93650262,204828589.0,2.1871651464253246
2007,Monroe,56295724,95171176.0,1.690557812170601
2014,Windsor,130236800,237134297.0,1.82079333183862
2016,East Haven,8984970,11217381.0,1.2484605958617558
2018,Danbury,367422230,570167189.0,1.551803735446274
2001,Roxbury,13226310,35068011.0,2.6513828119861094
2002,Rocky Hill,65098000,121272904.0,1.8629282620049772
2013,Winchester,17544837,19991123.0,1.1394305344643556
2014,Canterbury,9762300,11412939.0,1.169083002980855
2017,Bolton,15824320,23233813.0,1.468234527613193
2017,Harwinton,12414230,16633310.0,1.3398583722067336
2018,Bridgewater,13452642,20941718.22998047,1.556699288510054
2003,New Britain,132495540,237432094.0,1.7920006514936275
2007,Morris,7345990,14280196.0,1.9439443832621608
2011,Cheshire,102146747,139066724.0,1.3614405557134384
2001,Torrington,73864390,131230251.0,1.7766375786762743
2017,Cheshire,141712052,184339221.0,1.3008012967026967
2017,Putnam,30496351,41482655.0,1.3602497885730658
2018,South Windsor,123217670,217125804.0,1.7621320383675492
2019,Greenwich,3097134240,2310811825.0,0.7461129050060161
2004,North Stonington,20432354,47603874.0,2.329828173493862
2010,Putnam,16650400,18156939.0,1.0904806491135348
2009,Stonington,86176800,107516719.0,1.2476295128155142
2009,Wilton,158701850,188949981.0,1.1905972173607302
2020,Essex,72328300,128734645.0,1.7798654883358243
2020,Portland,43753830,71083876.0,1.624632083637021
2001,Hampton,3922460,7169752.0,1.827871284856952
2007,Avon,89436480,164815682.0,1.8428238902067702
2007,Meriden,130478412,182054601.0,1.3952852292530966
2014,Granby,31777440,47150553.0,1.4837744324275335
2015,Glastonbury,196936500,321650668.0,1.633270968053154
2017,Torrington,80679932,104796829.0,1.2989206411329153
2004,Easton,58478966,107205704.0,1.8332352866841044
2004,Preston,56154610,26586512.0,0.4734519926324838
2005,New London,50307600,97475321.0,1.937586388537716
2009,Lebanon,13514140,17278419.0,1.2785437327125515
2011,Bethlehem,6041900,6960623.0,1.1520586239427995
2012,Old Saybrook,78937900,82349225.0,1.0432152996216013
2019,Fairfield,637071123,936250500.0,1.469616917481912
2020,Andover,10993960,19992538.0,1.818501977449436
2003,Wallingford,119373800,238280539.0,1.9960874077896489
2014,Beacon Falls,17208170,29181406.0,1.695787872853418
2002,Suffield,42642660,83806854.0,1.9653289452393448
2003,North Haven,64745000,144374124.0,2.2298883929260946
2005,Southbury,236035405,248208473.0,1.0515730595585862
2006,North Haven,149096028,241815939.0,1.6218804903374087
2007,Sharon,8351731,20631562.0,2.4703336350272775
2012,Lisbon,8441420,8499881.0,1.0069254935780947
2012,Durham,19292560,24671882.0,1.2788288334985092
2013,Ashford,7211130,8479199.0,1.1758488614128437
2017,Salisbury,45113900,61525046.0,1.3637713875324458
2001,Preston,35911500,13840210.0,0.3853977138242624
2003,Southington,103785810,212869150.0,2.051042912321058
2005,New Haven,183905830,518868901.0,2.821383645097059
2006,Windham,33872950,60204397.0,1.7773591316965307
2013,Cromwell,42273214,66943015.0,1.5835799709953446
2018,East Lyme,105846830,162798812.0,1.538060346256945
2019,Rocky Hill,56305000,87843061.0,1.5601289583518338
2002,Middlebury,27381060,51771574.0,1.890780488410602
2003,Warren,7368832,20377924.0,2.7654211685108305
2004,Lyme,19930600,38740402.0,1.9437649644265602
2006,Ledyard,52142110,83838691.0,1.6078883459069837
2008,Avon,13891250,19469986.0,1.4016007198776208
2009,Scotland,2071520,2007050.0,0.9688779253881208
2009,Voluntown,5514110,5871291.0,1.064775820576666
2010,Cornwall,12406900,11676000.0,0.9410892326044379
2015,Mansfield,39862270,59725589.0,1.498298742143887
2015,Granby,44504890,59124518.0,1.3284948687661065
2017,Bethlehem,10837130,15780786.0,1.456177604218091
2003,Shelton,176911150,362830222.0,2.0509177742612605
2003,Wolcott,40694518,79886813.0,1.9630853718429593
2005,Waterford,72574030,139729631.0,1.925339284589818
2007,Torrington,61241310,113142855.0,1.8474924034120106
2015,Shelton,148369990,231266474.0,1.5587146295554781
2001,New Hartford,21694090,30841099.0,1.4216359847313254
2002,Bolton,7049700,15377088.0,2.181240052768203
2005,Naugatuck,79193780,171507142.0,2.1656642983830294
2006,Pomfret,13333280,21647300.0,1.623553994215977
2007,Salisbury,37457970,58481815.0,1.5612649324029038
2014,Sterling,7899900,10319167.0,1.3062402055722224
2015,Middlefield,11346300,15083975.0,1.3294179600398368
2016,Mansfield,54164347,88759929.0,1.6387150204173975
2007,Bethany,14012100,29404151.0,2.0984828112845326
2007,Milford,235603900,289640033.0,1.2293516066584635
2008,Cromwell,38030315,63781574.0,1.6771245255265437
2015,Waterbury,188544273,241779858.0,1.2823505808633073
2016,Hamden,272059702,366998246.0,1.348962170075449
2017,Hartford,88464610,195838978.0,2.2137550597917066
2002,Bethany,23891180,36439445.0,1.525225836480241
2006,Simsbury,102784627,214704700.0,2.08887949751474
2007,Lisbon,9333140,15847628.0,1.697995315617252
2008,Glastonbury,192380600,208362742.0,1.083075642762316
2008,West Hartford,195287900,301573971.0,1.544253233303241
2010,Cheshire,77664482,110072965.0,1.41728834295193
2014,East Hartford,108206694,122973537.0,1.1364688491453219
2015,Killingly,42901445,60316770.0,1.4059379584999991
2015,Ridgefield,239155535,324795877.0,1.3580947520198519
2007,Plainville,42064510,67416711.0,1.602698117724419
2009,Southington,121525020,163494070.0,1.3453531626655977
2011,Winchester,17749610,20116677.0,1.1333588174613414
2004,Glastonbury,160941667,327777304.0,2.036621778001094
2004,Harwinton,18912817,34093511.0,1.802666995614667
2007,Beacon Falls,12315290,26773750.0,2.1740251346090917
2008,Danbury,198208270,404514668.0,2.0408566605217833
2008,North Stonington,8306780,9287292.0,1.1180375548648214
2010,Griswold,18011560,18654807.0,1.0357130087565984
2010,Morris,4950240,5711900.0,1.1538632470344872
2015,Manchester,149610700,250782657.0,1.6762347679677991
2015,Eastford,4247200,6336060.0,1.491820493501601
2018,Sprague,7486560,10781815.0,1.4401560930520827
2020,Bridgewater,26392550,46090720.0,1.746353421704231
2002,Monroe,69216550,154489706.0,2.2319763987081123
2002,Voluntown,6510740,13219299.0,2.0303834894343806
2005,Hartford,169205593,440442357.0,2.6030011726621827
2009,Derby,24635730,29473535.0,1.196373519274647
2009,Newington,74089850,109682123.0,1.4803933737212318
2018,Waterford,79697764,117579216.0,1.4753138620049617
2005,Easton,45145080,96106973.0,2.128847108034807
2007,Mansfield,37317280,83159750.0,2.2284515377326537
2008,Southbury,57426979,69932321.0,1.2177607496991962
2009,Killingworth,19825400,21261253.0,1.072424919547651
2014,Voluntown,5224606,6348389.0,1.215094305675873
2017,Eastford,4279920,6483599.0,1.514887895100843
2020,Greenwich,4601774910,4229100675.0,0.9190151099763374
2020,Litchfield,58776370,112637939.0,1.9163813450881706
2020,Orange,82861970,147294602.0,1.7775899124773404
2001,Killingly,26095219,52296693.0,2.0040718186729913
2001,South Windsor,66751210,127905521.0,1.9161528457686385
2006,Putnam,20925300,45295189.0,2.1646136017165825
2012,Sherman,24989700,28607700.0,1.1447796492154767
2013,Hamden,198170653,236407389.0,1.192948529063988
2003,Canaan,2039000,4250750.0,2.084722903384012
2017,Scotland,3252280,3848130.0,1.1832099327241197
2002,Colchester,39193880,77786692.0,1.9846642383964026
2003,Groton,109702292,220310999.0,2.0082624982894615
2004,Wallingford,133645527,309967297.0,2.319324140193633
2009,Beacon Falls,13793950,21451554.0,1.5551422181463612
2010,Milford,220011249,249897101.0,1.13583783618264
2012,Thompson,15402524,19221477.0,1.2479433240941549
2019,New Canaan,500217980,648348467.0,1.2961318723489308
2003,North Stonington,13758110,31469282.0,2.2873259481135126
2005,Bozrah,4801120,11716088.0,2.4402822674709235
2005,Stonington,337304450,194386078.0,0.5762926578644307
2008,Ashford,10676840,15114450.0,1.4156295308349662
2008,Waterford,56345160,64369662.0,1.1424168819469143
2008,Voluntown,5120220,5244346.0,1.0242423177129107
2008,North Canaan,6417890,7526000.0,1.1726595501013573
2012,Somers,27442790,37655299.0,1.3721381463036375
2014,Colebrook,4284060,3271426.0,0.763627493545842
2017,Columbia,17490070,24273683.0,1.3878551086416464
2017,Union,2918070,4740000.0,1.6243613073024294
2019,Chester,17745500,27486506.0,1.548928235327266
2020,East Haddam,44997410,78823486.0,1.7517338442368127
2020,Windsor,107568740,288825799.0,2.6850346950238517
2002,Litchfield,25933843,54043251.0,2.083889032566442
2004,Waterbury,271856140,550238056.0,2.024004519449147
2009,Plainville,35094370,59854667.0,1.7055347339188593
2011,Danbury,215644250,250394067.0,1.1611441853886668
2015,Groton,125326635,155256738.0,1.2388167766572524
2001,Wethersfield,62132900,100422410.0,1.6162517764340631
